"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","16","","","","",""," -- @1.6 用例",""
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","31","","","","",""," -- @1.1 设备心跳的用例",""
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","14","","","","",""," -- @1.10 设备心跳的用例",""
"passed","Mon Jan 24 10:07:32 CST 2022","Mon Jan 24 10:07:32 CST 2022","16","","","","",""," -- @2.1 健康核验异常用例",""
"passed","Mon Jan 24 10:07:46 CST 2022","Mon Jan 24 10:07:46 CST 2022","87","","","","","","all instructions -- @1.9 新用例",""
"passed","Mon Jan 24 10:07:25 CST 2022","Mon Jan 24 10:07:26 CST 2022","1222","","","","","","数据的分离和查询 -- @2.2 数据的制造和查询",""
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","16","","","","",""," -- @3.2 健康核验数据分离",""
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","28","","","","",""," -- @1.5 设备心跳的用例",""
"passed","Mon Jan 24 10:07:32 CST 2022","Mon Jan 24 10:07:32 CST 2022","219","","","","",""," -- @2.5 健康核验异常用例",""
"passed","Mon Jan 24 10:07:46 CST 2022","Mon Jan 24 10:07:46 CST 2022","179","","","","","","all instructions -- @1.6 新用例",""
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","15","","","","",""," -- @1.8 设备心跳的用例",""
"passed","Mon Jan 24 10:07:32 CST 2022","Mon Jan 24 10:07:32 CST 2022","143","","","","",""," -- @2.3 健康核验异常用例",""
"passed","Mon Jan 24 10:07:25 CST 2022","Mon Jan 24 10:07:25 CST 2022","107","","","","","","数据的分离和查询 -- @2.1 数据的制造和查询",""
"passed","Mon Jan 24 10:07:45 CST 2022","Mon Jan 24 10:07:46 CST 2022","89","","","","","","all instructions -- @1.4 新用例",""
"passed","Mon Jan 24 10:07:32 CST 2022","Mon Jan 24 10:07:32 CST 2022","162","","","","",""," -- @2.4 健康核验异常用例",""
"passed","Mon Jan 24 10:07:43 CST 2022","Mon Jan 24 10:07:44 CST 2022","1043","","","","",""," -- @1.10 开门记录的用例",""
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","15","","","","",""," -- @1.2 用例",""
"passed","Mon Jan 24 10:07:33 CST 2022","Mon Jan 24 10:07:33 CST 2022","357","","","","",""," -- @3.1 健康核验数据分离",""
